subject_id,condition,condition_label,n_trials,avg_snr,mean_trial_snr,mean_baseline_noise_V,signal_rms_V,noise_floor_V,signal_to_noise_floor_ratio,n_components_detected,morphology_score,quality_score,has_real_pattern,quality_label,P1_detected,P1_peak_amp_V,P1_peak_lat_s,P1_mean_amp_V,N1_detected,N1_peak_amp_V,N1_peak_lat_s,N1_mean_amp_V,P2_detected,P2_peak_amp_V,P2_peak_lat_s,P2_mean_amp_V,N400_detected,N400_peak_amp_V,N400_peak_lat_s,N400_mean_amp_V,jar_group
P001,605,Water/605,5,0.6521361638795343,1.3212003574333449,4.202047068289396e-05,2.4477933464150428e-05,5.7046541338761546e-05,0.4290870732862178,4,0.8333333333333334,0.6448595441530942,True,GOOD,True,2.381884224362807e-05,0.11,5.442066746651012e-06,True,-2.3098316870573398e-05,0.2,-1.335869973476375e-06,True,1.563489627187664e-05,0.29,6.351281850833438e-06,True,-3.95207589842054e-06,0.38,4.311174169150231e-06,Khong_du
P001,258,Low/258,5,0.4807010907474115,1.4175800636855382,4.702964351730483e-05,2.991008365670489e-05,6.012249629555715e-05,0.4974857249717215,2,0.5,0.37736985360183006,False,BAD,False,-1.5264290297523074e-06,0.12,-9.750706435949855e-06,False,-4.420180346187406e-06,0.23,9.694081179648348e-06,True,5.976365862636612e-06,0.3,-7.154165561911003e-06,True,-2.843932698889754e-05,0.45,-1.2605344621855843e-05,Khong_du
P001,453,MedLow/453,5,0.8782476182008141,1.7338648585667733,3.739997601904865e-05,3.0412067419241772e-05,5.4784201918471624e-05,0.555124768715262,3,0.3333333333333333,0.46065499250371245,False,BAD,True,6.8274571674464825e-06,0.14,-6.715512536865325e-06,True,-1.075269449870575e-05,0.15,1.949759957075127e-06,True,1.1424742757526473e-05,0.24,1.7175450250688913e-06,False,-3.29787483982121e-06,0.51,5.923424677351228e-06,Khong_du
P001,189,Medium/189,5,1.0380972452930708,1.3839457095241336,4.379709305161978e-05,2.6639103969933117e-05,5.684070781513844e-05,0.4686624251156545,2,0.16666666666666666,0.3383244523247633,False,BAD,False,2.0985525793548735e-06,0.12,-7.468768419422694e-06,False,-4.825071214398236e-06,0.21,7.680980783287726e-06,True,8.439309513619265e-06,0.32,-2.0016052227780698e-06,True,-5.348275417797292e-06,0.49,8.338908075587361e-06,Vua_phai
P001,762,MedHigh/762,5,0.4971673514924285,2.059001276133239,3.314143236454564e-05,2.102284017363687e-05,5.1820426756161085e-05,0.40568635747750575,2,0.5,0.371857089435182,False,BAD,False,5.997126379497786e-07,0.09,-1.121633650953413e-05,False,-5.2174173447383515e-06,0.19,4.75891213608551e-06,True,7.354289519412305e-06,0.29,-3.2842005713116754e-06,True,-1.633226225976614e-05,0.55,-4.9667775588967095e-06,Vua_phai
P001,893,High/893,5,0.7732934351228986,1.7267910633146273,3.3107753650040385e-05,2.4784765976404963e-05,4.886993970833429e-05,0.5071576949823444,3,0.6666666666666666,0.5316446133839173,True,GOOD,True,1.082443354221141e-05,0.11,5.953133346484459e-06,True,-1.616839961684491e-05,0.18,-4.21907506242421e-06,True,1.6260075571494778e-05,0.33,6.038378512967641e-06,False,4.7632979279417986e-07,0.37,7.0560259941156724e-06,Qua_nhieu
P002,605,Water/605,5,0.44326800662588833,2.1647626351279308,3.199871112110332e-05,1.9220334223111025e-05,4.955185685330004e-05,0.3878832286752337,4,0.6666666666666666,0.5826969093694665,True,GOOD,True,4.8880985779931055e-06,0.13,-1.1569116701082293e-06,True,-6.516337083439794e-06,0.19,3.951421887229209e-06,True,1.4299063934686272e-05,0.25,6.7289016787123255e-06,True,-5.253715672400478e-06,0.45,1.4542624438176757e-06,Khong_du
P002,258,Low/258,5,1.5353062353148514,1.6027180707679392,4.217620614773092e-05,3.373324583376755e-05,5.623723061497638e-05,0.5998383182258649,4,0.8333333333333334,0.7312633934765109,True,GOOD,True,1.6743071159908138e-05,0.11,8.974258681528266e-06,True,-3.160339816190572e-05,0.21,-1.525179547605469e-05,True,1.6848680036218867e-05,0.23,6.83288376618608e-06,True,-9.168553655551175e-06,0.5,2.285783274285926e-06,Khong_du
P002,453,MedLow/453,5,0.5112458871581933,1.3879665026538466,4.6423024066772886e-05,2.5649174749430564e-05,6.0000414850604e-05,0.42748329012882424,4,0.5,0.5496650706895113,True,GOOD,True,2.0195575575598924e-05,0.11,4.995917316006983e-06,True,-1.6283846667874966e-05,0.18,5.834014981008874e-06,True,1.3787530087938646e-05,0.33,-1.4567915566993528e-06,True,-1.2229004397568133e-05,0.55,-4.293049263000039e-06,Khong_du
P002,189,Medium/189,5,0.5373975851766583,1.9605885737509836,3.512404422254439e-05,2.6273112606219106e-05,6.268217488469151e-05,0.4191480696793058,2,0.5,0.37621923732400275,False,BAD,True,1.1003897907357897e-05,0.11,1.3139914379678431e-06,False,-2.1292184896992692e-06,0.24,6.281263529734298e-06,True,9.570226751520751e-06,0.24,2.9277256880861233e-06,False,-3.668599371546103e-07,0.38,5.5426957092979336e-06,Qua_nhieu
P002,762,MedHigh/762,5,0.4095673121691168,2.7751988976147546,3.509602869122655e-05,2.6507123913912218e-05,6.162568830020239e-05,0.4301310808049046,4,1.0,0.6663904404077943,True,GOOD,True,1.5162640227117664e-05,0.13,2.589044437481139e-06,True,-2.756282360678597e-05,0.21,-8.407480100913744e-06,True,1.3784146995021729e-05,0.27,3.5743645753427696e-06,True,-1.1746593663749156e-05,0.37,-1.7074901253052428e-06,Qua_nhieu
P002,893,High/893,5,0.3525342026925685,2.0516749993441747,3.379615199489292e-05,2.4554824625574655e-05,6.728534767631417e-05,0.36493568768789253,3,0.5,0.44424802680097264,True,WEAK,False,8.255029342763007e-07,0.09,-1.151795877538981e-05,True,-9.327178699436444e-06,0.17,4.855330224596731e-06,True,4.217416108076578e-06,0.32,-3.686287147038806e-06,True,-1.1154778587751932e-05,0.42,-4.0459832988837265e-06,Vua_phai
P003,605,Water/605,5,0.6636508358953327,1.9911835760003433,4.0886433348570726e-05,3.813815736063282e-05,6.110109831262364e-05,0.6241812080938222,3,0.5,0.4896178269316477,True,WEAK,True,1.5019251191006336e-05,0.1,6.622427524329209e-06,True,-1.1673342919493733e-05,0.24,9.052589524378103e-07,False,3.5362268135941113e-06,0.29,-6.727747255297346e-06,True,-2.8523544809407516e-05,0.46,-5.213524978266885e-06,Khong_du
P003,258,Low/258,5,0.5502223777795647,1.5606935535598607,4.392056186454275e-05,2.7478879542209982e-05,6.520163760165318e-05,0.421444622450913,2,0.3333333333333333,0.3357935448321155,False,BAD,False,-2.0617398604372277e-06,0.12,-7.873221471348709e-06,True,-1.907664045859292e-05,0.14,-2.3352105467918962e-06,True,2.4854967091414433e-05,0.32,8.61842469286846e-06,False,1.2824233586764914e-06,0.52,1.3559065561727676e-05,Khong_du
P003,453,MedLow/453,5,0.6260418979226363,1.4479569367055636,4.37530710695752e-05,2.8567983982636524e-05,6.064874562788462e-05,0.47103998090772964,4,1.0,0.6874981567282994,True,GOOD,True,1.1115826055174693e-05,0.1,4.100611808276002e-06,True,-1.2535632851040645e-05,0.23,2.387386178655375e-06,True,3.0904569578638073e-05,0.23,2.1018726876238684e-05,True,-1.4016759087098762e-05,0.38,1.9244784334987004e-06,Khong_du
P003,189,Medium/189,5,0.8311742150193812,1.2364820041129643,5.0738133972045596e-05,2.7833577848397613e-05,6.152386016032757e-05,0.4524029827755434,4,0.6666666666666666,0.6198614082931142,True,GOOD,True,1.8381061479999516e-05,0.13,1.4748958954718152e-06,True,-2.6668336931834347e-05,0.15,-8.07088160045569e-06,True,2.81755978953413e-05,0.31,1.7858064959105275e-06,True,-1.3110644263747416e-05,0.4,6.930416867217694e-06,Vua_phai
P003,762,MedHigh/762,5,0.3976067690877125,1.2050115861500554,5.1135179559319186e-05,2.145054191089413e-05,6.367729521048676e-05,0.33686327033817737,3,0.5,0.4458986426993393,True,WEAK,True,1.6529758349292935e-05,0.1,4.059964744332742e-06,True,-1.7100239722367403e-05,0.14,2.0941159206699926e-06,True,1.842957855728855e-05,0.25,1.7197423865001633e-06,False,-1.8962711806125296e-06,0.53,6.32559842596748e-06,Vua_phai
P003,893,High/893,5,0.5272656173787033,1.2258736131005505,5.176620314593734e-05,2.4825244142512454e-05,6.191842627835914e-05,0.40093467542131356,4,0.3333333333333333,0.507342235438157,True,GOOD,True,1.4469741972789053e-05,0.15,3.38888188944659e-06,True,-1.0401077179267305e-05,0.24,5.049171759775495e-06,True,1.2880478686838615e-05,0.34,2.427134135110429e-06,True,-7.627605331587498e-06,0.44,2.6791052081289452e-06,Qua_nhieu
P004,605,Water/605,5,0.5514342061306473,1.6340602611951407,4.602579088965056e-05,3.960237114485186e-05,6.549888495494017e-05,0.60462664627186,3,0.3333333333333333,0.43713318231461,False,BAD,True,8.464946938602227e-06,0.09,-8.986851627312816e-08,True,-1.295534117389252e-05,0.22,-2.0234456193984383e-06,False,3.414029150405896e-06,0.3,-1.1414014667165107e-05,True,-1.551592338368361e-05,0.42,-1.1492839203381464e-06,Khong_du
P004,258,Low/258,5,0.5538509401993998,1.5968078876088543,4.393782561871515e-05,3.0448983575608008e-05,7.157801763739161e-05,0.42539573713622625,4,1.0,0.6780589253018336,True,GOOD,True,6.911787653507417e-06,0.11,1.1121836073308647e-06,True,-3.767001276173687e-05,0.14,-2.0810422497225484e-05,True,2.0237405979628417e-05,0.27,7.543247812909961e-06,True,-9.729161563617102e-06,0.51,1.9880172999364733e-06,Khong_du
P004,453,MedLow/453,5,0.6379795197987208,1.8213125133562091,4.58257009594462e-05,3.113051454950725e-05,7.67277396492182e-05,0.40572698598745244,4,0.8333333333333334,0.641927817265619,True,GOOD,True,1.1022488860135126e-05,0.13,-2.2096203704080615e-06,True,-2.4852743412751008e-05,0.19,-8.966764067608323e-06,True,2.8065958059642074e-05,0.35,1.8374155845234638e-06,True,-2.3178696164904977e-05,0.52,-8.223468718359158e-06,Khong_du
P004,189,Medium/189,5,0.43124288975063796,1.7247790645655794,4.168054999134197e-05,2.9000314310465675e-05,7.146566480991147e-05,0.40579366871633243,4,0.8333333333333334,0.6247047659662781,True,GOOD,True,1.3106134974805173e-05,0.13,-3.573324192984728e-06,True,-1.3626583051973284e-05,0.16,-6.138105901372497e-06,True,1.4983247160671453e-05,0.26,1.2486422373460583e-06,True,-2.2907714461932e-05,0.47,-2.405066452716202e-06,Khong_du
P004,762,MedHigh/762,5,0.43869920078138946,1.6403191735826117,4.717481818489353e-05,3.1788603750147304e-05,6.814823072090463e-05,0.46646264200658216,3,0.5,0.4590429648822761,True,WEAK,True,1.7689415017230203e-05,0.14,9.692868062418013e-06,True,-1.6523705369309024e-05,0.15,1.8218413993570945e-07,False,5.806683475384489e-06,0.26,-1.1499153761654121e-05,True,-2.0569462443139252e-05,0.4,-3.3460658502443208e-06,Vua_phai
P004,893,High/893,5,0.5032676550785067,1.8503732489561977,4.047514861352534e-05,3.709156719063409e-05,6.379622211212895e-05,0.5814069542463116,3,0.5,0.47304449282501554,True,WEAK,True,1.0971993481234678e-05,0.11,1.3657138187081082e-06,True,-3.0494261091007504e-05,0.2,-9.879464963366305e-06,False,-5.9395511925686164e-06,0.33,-2.2266463233550514e-05,True,-1.045370927386102e-05,0.35,-2.3946491377309646e-06,Qua_nhieu
P005,605,Water/605,5,0.38192082187059023,2.4253669671156275,3.563470002475537e-05,4.1683754690703716e-05,7.173696031915691e-05,0.5810638547445163,3,0.16666666666666666,0.37957319092838787,False,BAD,True,1.4850361480966967e-05,0.11,-9.403720479131797e-07,True,-2.007501707339543e-05,0.15,-3.833915284106643e-06,False,1.9378647266421457e-06,0.31,-1.0531215587679281e-05,True,-1.386665451642936e-05,0.36,7.29506436369226e-07,Khong_du
P005,258,Low/258,5,0.4335453048075457,2.007553745784173,4.637515521151336e-05,3.725487620215681e-05,7.917993569387448e-05,0.4705090484815703,3,0.8333333333333334,0.5422502873700799,True,GOOD,True,2.7549587105113464e-05,0.14,9.997001566018427e-06,True,-3.502470699459081e-05,0.15,-1.4431351435009985e-05,True,2.4044298652370347e-05,0.28,1.2402799395298067e-05,False,3.083977405064312e-06,0.46,1.137848707283443e-05,Khong_du
P005,453,MedLow/453,5,0.3323248584076446,2.319087860652502,3.821616754126992e-05,3.401246205704888e-05,7.992659139622865e-05,0.4255462601731038,3,0.5,0.4471097077136198,True,WEAK,True,1.5330224277931846e-05,0.1,1.1103842723006858e-06,True,-2.1095005763527297e-05,0.17,-8.156535116912974e-06,False,2.200020844611594e-07,0.24,-8.304613669014752e-06,True,-1.271862641753311e-05,0.54,-2.0152555261154428e-06,Khong_du
P005,189,Medium/189,5,0.43814141280603014,1.7235225533556218,4.342436796617009e-05,4.1109654828390624e-05,6.922489464534882e-05,0.5938565170666208,4,0.6666666666666666,0.5977176898471657,True,GOOD,True,7.885572972554656e-06,0.09,-6.634227837056171e-06,True,-1.4844571711591926e-05,0.16,-2.9575878223911644e-06,True,2.0096963316973413e-05,0.34,2.220879960973959e-06,True,-1.3836493402171377e-05,0.42,-1.2892964900315529e-06,Vua_phai
P005,762,MedHigh/762,5,0.3257977164855238,1.4456150256193823,5.5230752978542695e-05,2.3678131470183816e-05,7.971641834318357e-05,0.2970295450085095,3,0.6666666666666666,0.47859369224943177,True,WEAK,False,-1.0085259873449102e-06,0.1,-6.427661950121026e-06,True,-2.0774641234311277e-05,0.18,-4.312132848644461e-06,True,1.8940147310786414e-05,0.25,6.7093650484978825e-06,True,-1.3673347912875519e-05,0.54,-4.511571230854845e-06,Vua_phai
P005,893,High/893,5,0.34578411531852943,2.623094518687199,4.1637820030865465e-05,3.500224634921184e-05,8.583936976320797e-05,0.4077644843591841,4,0.5,0.5343976792701497,True,GOOD,True,8.136680992265611e-06,0.09,-4.0813028030178135e-08,True,-2.085605481170205e-05,0.24,-8.42697382614171e-06,True,1.1835182192498905e-05,0.3,8.32411765171715e-07,True,-1.0862719780864912e-05,0.45,4.932346201438942e-06,Vua_phai
P006,605,Water/605,5,0.9488650418720622,1.4131203449314595,3.712480972148076e-05,2.5999418184935122e-05,5.2657040331202476e-05,0.4937500858651354,4,0.6666666666666666,0.6327700099292236,True,GOOD,True,1.0752696547911e-05,0.11,7.271593989420313e-07,True,-1.359046827360544e-05,0.2,3.7993828681495946e-06,True,8.768064253672491e-06,0.28,7.897674014254972e-08,True,-1.376021944755242e-05,0.54,-7.506468983622642e-06,Khong_du
P006,258,Low/258,5,0.49862399835020893,1.3509386313641623,3.7794302147734917e-05,2.0348312164352977e-05,4.8670043151107084e-05,0.41808699657769094,3,0.6666666666666666,0.5020751912725109,True,GOOD,False,4.692742891165832e-07,0.15,-7.221775343729016e-06,True,-1.8309840046981663e-05,0.15,-3.65557080893485e-06,True,9.312813836004352e-06,0.35,4.3760118962301055e-07,True,-1.9046850583966566e-05,0.37,-1.0357730320584954e-06,Vua_phai
P006,453,MedLow/453,5,0.6168712919937098,1.7266503172116212,2.9572983276909534e-05,1.8561513359299878e-05,4.555413284571731e-05,0.40746057931042157,4,0.6666666666666666,0.598632151114424,True,GOOD,True,6.867641837970951e-06,0.15,2.032868181142281e-06,True,-2.072550045824073e-05,0.23,-1.4918947836632536e-06,True,8.279427856905385e-06,0.23,-4.210018488574992e-06,True,-1.1409980922394425e-05,0.4,-5.046377047041117e-06,Vua_phai
P006,189,Medium/189,5,0.7036419750157594,1.353828351187593,3.3781182926116035e-05,1.806477393729391e-05,4.5877603008670396e-05,0.3937601956640989,2,0.16666666666666666,0.30483551259278735,False,BAD,True,6.915518810046706e-06,0.09,2.3540166894114074e-06,False,-2.91243221397508e-06,0.22,6.768522520804833e-06,True,1.3645788078520127e-05,0.29,-2.624552000823469e-07,False,-9.915169471241824e-07,0.55,6.961307048063379e-06,Vua_phai
P006,762,MedHigh/762,5,0.4563728697188738,1.8430085925598774,2.7271687466074546e-05,2.0366623694026246e-05,5.264020808399961e-05,0.38690241614407367,4,0.6666666666666666,0.583715420354045,True,GOOD,True,4.720791292811554e-06,0.14,1.4796799886949775e-07,True,-1.1044542503668708e-05,0.24,-3.6627133388962693e-06,True,7.800599883012183e-06,0.27,-4.693188324230627e-06,True,-1.897404748660847e-05,0.39,-7.628016966334951e-06,Qua_nhieu
P006,893,High/893,5,0.534946730082291,1.434807207405298,3.501442230425061e-05,1.869051006856619e-05,4.705602226839249e-05,0.3971969828210617,3,0.6666666666666666,0.5035353345517705,True,GOOD,False,-3.811291622923818e-06,0.13,-9.040500314634008e-06,True,-1.6985902539090604e-05,0.22,5.061193779971001e-06,True,1.1353356352561406e-05,0.27,1.6963228104439364e-06,True,-9.849421087437805e-06,0.45,7.959493595861778e-07,Qua_nhieu
P007,605,Water/605,5,0.4850035569907171,1.302747031045688,5.799804854926064e-05,2.7642391806477206e-05,7.650513491278567e-05,0.3613142024778988,4,0.6666666666666666,0.5841821949350688,True,GOOD,True,1.1346253862143386e-05,0.09,-1.7767182302666885e-06,True,-1.4607270622946091e-05,0.21,9.395860781260332e-06,True,2.141254330467746e-05,0.28,8.805154730741661e-07,True,-1.9435323787320157e-05,0.52,-2.655935710921353e-06,Khong_du
P007,258,Low/258,5,0.7288753100370926,1.071870851276138,6.528937060741553e-05,3.122684366598467e-05,6.944680180147339e-05,0.4496512849540922,4,0.8333333333333334,0.652796788874648,True,GOOD,True,9.469010274187893e-06,0.15,-4.7183986414519786e-07,True,-1.153376890670188e-05,0.2,-2.5697066248785528e-06,True,4.358675358275832e-05,0.26,1.1191442971472463e-05,True,-1.399974949549687e-05,0.5,5.045499984926471e-06,Khong_du
P007,453,MedLow/453,5,0.6214753786907233,1.250514660613771,6.0969283609527524e-05,2.958397119649095e-05,7.131955610924876e-05,0.414808683766534,4,0.3333333333333333,0.516233599506717,True,GOOD,True,2.456335000715626e-05,0.09,3.451449904494958e-06,True,-2.3518408625022857e-05,0.21,-2.284861004850117e-06,True,2.4352415493922308e-05,0.26,-4.3733545968854395e-06,True,-1.0313083119702543e-05,0.51,1.2485210215159563e-06,Qua_nhieu
P007,189,Medium/189,5,1.2844899742049483,1.5604524797730623,4.868714859284345e-05,5.368510946697937e-05,6.429266921356233e-05,0.8350113648050977,3,0.5,0.557166683544128,True,GOOD,True,9.661234980740118e-06,0.15,-1.5422277381422446e-06,False,-1.5108270758901207e-06,0.24,1.595144948467464e-05,True,2.5857314676613895e-05,0.34,7.594432656459889e-06,True,-1.305412811992331e-05,0.35,5.105328875133962e-06,Qua_nhieu
P007,762,MedHigh/762,5,0.4300130686168837,1.5258045213121576,5.433974416053145e-05,3.4564993103846517e-05,7.738922538141565e-05,0.4466383134537356,4,0.5,0.5443322958937705,True,GOOD,True,1.1902142085773449e-05,0.1,1.994237801129982e-06,True,-9.213546400133053e-06,0.17,7.541226017337976e-06,True,8.527198440333449e-06,0.26,-7.272053280656857e-06,True,-2.76291322279576e-05,0.45,-1.6949153536502525e-05,Qua_nhieu
P007,893,High/893,5,0.4079107213977399,1.5413735776154105,4.214704100847112e-05,2.8147183230928927e-05,6.466816748463175e-05,0.4352556184249081,3,0.3333333333333333,0.4124700648316797,False,BAD,True,9.289760987485353e-06,0.12,-3.0041131871375423e-06,False,7.207418095589446e-06,0.17,1.7520581940741213e-05,True,2.6953329279422174e-05,0.35,7.362596992029818e-06,True,-5.7078009225127365e-06,0.47,9.917227538315905e-06,Qua_nhieu
P008,605,Water/605,5,0.30384233087591206,1.5089692668489558,4.8550619551685373e-05,2.5416674195832543e-05,7.013678789153139e-05,0.3623872002113952,2,0.6666666666666666,0.3941659009221806,False,BAD,False,1.7158425407615138e-06,0.13,-7.916613404290727e-06,False,-4.296825915162117e-06,0.17,7.429744395763422e-06,True,2.916239025125833e-05,0.25,1.945344439420182e-05,True,-1.1291202918073396e-05,0.39,6.202012213990088e-06,Khong_du
P008,258,Low/258,5,0.3639811687098656,1.8739969653141038,3.387575748844939e-05,1.982464884638415e-05,6.055579437682268e-05,0.3273782311073422,3,0.5,0.4423851313922061,True,WEAK,True,1.1172692654781714e-05,0.09,-3.911884548862027e-07,True,-1.618310320736782e-05,0.23,1.45172151592861e-06,True,1.3968065918490426e-05,0.34,6.297543969679963e-06,False,-1.4436156296445312e-06,0.44,4.676074225317182e-06,Khong_du
P008,453,MedLow/453,5,0.41266470835798835,2.2196426726158216,4.561664917994548e-05,2.8884328820983273e-05,7.615903400845705e-05,0.37926332965010856,3,0.3333333333333333,0.40866680875359046,False,BAD,True,2.1864303846541592e-05,0.09,1.1021785158910852e-05,True,-7.667479565043323e-06,0.19,5.237400707290942e-06,False,-5.611393822846366e-06,0.32,-2.0306480956942497e-05,True,-9.244585707316825e-06,0.36,1.4634257160383957e-06,Khong_du
P008,189,Medium/189,5,0.35187446577287274,2.3983730519463053,3.589626930351514e-05,2.752312232318719e-05,7.276841753006463e-05,0.378228952303599,2,0.6666666666666666,0.39935671023717595,False,BAD,False,4.825098358196555e-06,0.09,-2.892489467853921e-06,False,-1.4667976984128472e-06,0.23,6.2600893699027434e-06,True,3.429207616534313e-05,0.26,1.776959423365882e-05,True,-5.599445573049403e-06,0.54,4.7066268846283355e-06,Vua_phai
P008,762,MedHigh/762,5,0.3144660503175537,2.7194158700317432,3.3850276387542786e-05,3.42959729451928e-05,7.695509567869215e-05,0.4456621441728504,3,0.5,0.44713016500609326,True,WEAK,True,1.2398954368109113e-05,0.12,7.267193378522408e-06,True,-1.3745422336342017e-05,0.22,-2.2881897453818182e-06,False,1.1208044838895157e-06,0.32,-6.586296023632835e-06,True,-1.7131583725434517e-05,0.48,-2.852879986067009e-06,Qua_nhieu
P008,893,High/893,5,0.37837489770577293,2.2294912879401645,3.502813769236446e-05,2.6576023462357095e-05,6.591108900330761e-05,0.4032102012610265,2,0.16666666666666666,0.2784386732367247,False,BAD,False,3.6529466797219357e-06,0.13,-3.577846298493828e-06,True,-1.0393083332260744e-05,0.14,5.174134185669356e-06,False,5.122360931864023e-07,0.23,-1.1544455645880938e-05,True,-1.0241045317253375e-05,0.48,-3.3855221113175127e-06,Qua_nhieu
P009,605,Water/605,5,0.48485754181680774,1.4547952422174224,3.961565473269885e-05,2.471392337867481e-05,6.209588226433e-05,0.3979961710419458,2,0.3333333333333333,0.3285878413128799,False,BAD,True,1.2454752231860765e-05,0.09,6.290730884269836e-07,False,6.844724066468188e-06,0.23,1.3377586989029373e-05,False,-5.430482406154625e-06,0.32,-2.198375680740456e-05,True,-1.9787216175852032e-05,0.35,-1.2700233443357297e-05,Khong_du
P009,258,Low/258,5,0.5762670596790345,1.471409058388335,3.88639500548034e-05,2.1445595287184095e-05,5.950846375198396e-05,0.3603789097390221,4,0.6666666666666666,0.5917173398703461,True,GOOD,True,8.762083291458114e-06,0.1,-1.9839429147135907e-08,True,-1.2945258109198222e-05,0.22,3.156904950494457e-06,True,1.4379836943589907e-05,0.34,1.5521371452109628e-06,True,-1.4633176325181315e-05,0.46,-6.05364578668819e-06,Khong_du
P009,453,MedLow/453,5,0.7721929659284004,1.4344850539207648,4.1380379404914814e-05,3.0105114717556662e-05,5.212875206400298e-05,0.5775145869710061,4,1.0,0.7076630078501921,True,GOOD,True,1.0073806606669677e-05,0.15,1.071530304003992e-06,True,-2.11348860830185e-05,0.2,-1.3474706235234117e-05,True,1.1875305492736743e-05,0.23,2.079938563289611e-06,True,-1.3849280164398199e-05,0.46,-1.2565657304290897e-06,Khong_du
P009,189,Medium/189,5,0.5878049317665313,1.6963065866166063,3.5704671690273005e-05,2.181133169281843e-05,5.798266910246397e-05,0.3761698457564031,4,0.8333333333333334,0.6355298160789411,True,GOOD,True,1.0419747820833435e-05,0.09,-4.168071712992319e-06,True,-2.740544491643959e-05,0.21,-1.1745031805012537e-05,True,2.3423797833288516e-05,0.31,1.0059559541483956e-05,True,-1.3320805328476126e-05,0.39,-1.048489099185457e-06,Vua_phai
P009,762,MedHigh/762,5,0.605312454704301,1.1765335975790592,3.60018781865266e-05,2.037722389895365e-05,4.939879174420104e-05,0.4125045002005691,4,1.0,0.6813805420737344,True,GOOD,True,5.029404010770122e-06,0.14,1.2750473753645297e-07,True,-1.2605769958895507e-05,0.21,-1.0412958611896988e-06,True,1.573252922639767e-05,0.24,3.1387053804967134e-06,True,-9.86234718614772e-06,0.36,-2.0398703171885753e-06,Qua_nhieu
P009,893,High/893,5,0.5448748709155284,1.8041813552812613,3.545289164059242e-05,2.3751294279423614e-05,5.734724676848434e-05,0.41416625239760135,4,1.0,0.6764687081727808,True,GOOD,True,6.076701390611561e-06,0.15,2.3440558898674927e-06,True,-1.0058870844886766e-05,0.18,-2.1319605925188253e-06,True,1.3893266071818289e-05,0.34,5.801750894736284e-06,True,-1.1770147239076323e-05,0.5,7.969088759495429e-07,Qua_nhieu
P010,605,Water/605,5,0.37245400273811224,1.9340207475395519,4.60946545159402e-05,3.56852080028645e-05,7.627384337526518e-05,0.4678564291993819,4,0.3333333333333333,0.4994603990847963,True,WEAK,True,7.714593152741145e-06,0.1,6.672023656863394e-07,True,-2.0724378919112494e-05,0.24,-5.1563450832438975e-06,True,1.6394433760069657e-05,0.23,-2.826497515903051e-07,True,-1.03752798622736e-05,0.43,3.2675727587003518e-06,Khong_du
