condition,condition_label,component,measure,mean,sem,n_subjects
605,Water/605,P1,mean_amp,5.1183110739150755e-06,3.767240886962148e-06,11
605,Water/605,P1,peak_amp,1.5604358598239693e-05,3.9012702518988764e-06,11
605,Water/605,P1,peak_lat,0.12272727272727274,0.005408899920234005,11
605,Water/605,N1,mean_amp,-1.84029315631936e-06,1.8136796112070205e-06,11
605,Water/605,N1,peak_amp,-1.7345592562526578e-05,2.8431183142531037e-06,11
605,Water/605,N1,peak_lat,0.1709090909090909,0.008576346483687823,11
605,Water/605,P2,mean_amp,2.0586769801027872e-06,3.846969252628867e-06,11
605,Water/605,P2,peak_amp,1.9541936701889476e-05,4.774523362477909e-06,11
605,Water/605,P2,peak_lat,0.3045454545454546,0.009181368125783709,11
605,Water/605,N400,mean_amp,2.3386280360829738e-07,2.8523450302223058e-06,11
605,Water/605,N400,peak_amp,-1.5716980417321028e-05,2.4306092127790044e-06,11
605,Water/605,N400,peak_lat,0.43727272727272726,0.019729576740191553,11
258,Low/258,P1,mean_amp,-1.3123589415074212e-06,2.3141537901384133e-06,17
258,Low/258,P1,peak_amp,9.992682377400835e-06,2.7992771401240765e-06,17
258,Low/258,P1,peak_lat,0.11411764705882353,0.005004323390345164,17
258,Low/258,N1,mean_amp,-3.519997951287853e-08,1.664011831121419e-06,17
258,Low/258,N1,peak_amp,-1.3880544840314798e-05,1.9867532886964014e-06,17
258,Low/258,N1,peak_lat,0.17941176470588238,0.009093896961023707,17
258,Low/258,P2,mean_amp,2.2650054070696517e-06,1.7305919979421144e-06,17
258,Low/258,P2,peak_amp,1.600677099521582e-05,1.919963528792869e-06,17
258,Low/258,P2,peak_lat,0.2952941176470589,0.008230040340960719,17
258,Low/258,N400,mean_amp,4.3519447322159027e-07,1.6771914113511702e-06,17
258,Low/258,N400,peak_amp,-1.2525255564987088e-05,1.9063029225410968e-06,17
258,Low/258,N400,peak_lat,0.46588235294117647,0.01658442801531472,17
453,MedLow/453,P1,mean_amp,3.244817843022069e-06,1.945078496431511e-06,17
453,MedLow/453,P1,peak_amp,1.3029809770734477e-05,1.8084915599548743e-06,17
453,MedLow/453,P1,peak_lat,0.12588235294117647,0.006246106053410382,17
453,MedLow/453,N1,mean_amp,-5.058364927216818e-06,1.9305099240029955e-06,17
453,MedLow/453,N1,peak_amp,-2.109880872876936e-05,2.7031834806987713e-06,17
453,MedLow/453,N1,peak_lat,0.18352941176470589,0.006583243907529233,17
453,MedLow/453,P2,mean_amp,3.849331954415357e-06,3.5325801683252436e-06,17
453,MedLow/453,P2,peak_amp,1.9923675963314855e-05,3.896351481267418e-06,17
453,MedLow/453,P2,peak_lat,0.27470588235294124,0.007332324036657595,17
453,MedLow/453,N400,mean_amp,-1.1023397134676873e-06,1.7307665804609262e-06,17
453,MedLow/453,N400,peak_amp,-1.5537896723864553e-05,2.1559429893784623e-06,17
453,MedLow/453,N400,peak_lat,0.4605882352941177,0.01668194224998498,17
189,Medium/189,P1,mean_amp,4.771494419638803e-07,2.0144538190479855e-06,14
189,Medium/189,P1,peak_amp,1.409910670626045e-05,3.056442316516566e-06,14
189,Medium/189,P1,peak_lat,0.11857142857142858,0.006449903556408434,14
189,Medium/189,N1,mean_amp,-2.136359905366102e-06,2.4528494152993824e-06,14
189,Medium/189,N1,peak_amp,-1.9397245861187326e-05,2.761257540147622e-06,14
189,Medium/189,N1,peak_lat,0.1764285714285714,0.008228010512017547,14
189,Medium/189,P2,mean_amp,3.356584528997512e-06,2.7506914533688917e-06,14
189,Medium/189,P2,peak_amp,2.1574882097244847e-05,2.360289919303526e-06,14
189,Medium/189,P2,peak_lat,0.29999999999999993,0.01084354266752419,14
189,Medium/189,N400,mean_amp,4.140272081207987e-06,1.3176210673129418e-06,14
189,Medium/189,N400,peak_amp,-8.577698713824454e-06,1.688765807473454e-06,14
189,Medium/189,N400,peak_lat,0.48714285714285716,0.014988221435168316,14
762,MedHigh/762,P1,mean_amp,1.1021377244077803e-06,2.1573132352971382e-06,13
762,MedHigh/762,P1,peak_amp,1.2751252484887434e-05,2.938719728229265e-06,13
762,MedHigh/762,P1,peak_lat,0.11461538461538462,0.0064664206220094835,13
762,MedHigh/762,N1,mean_amp,2.3066793552368055e-06,2.6072119821706575e-06,13
762,MedHigh/762,N1,peak_amp,-1.2471023584235645e-05,2.6607704551857413e-06,13
762,MedHigh/762,N1,peak_lat,0.20000000000000004,0.008086075400626398,13
762,MedHigh/762,P2,mean_amp,3.1969586039193703e-06,2.232942741126121e-06,13
762,MedHigh/762,P2,peak_amp,2.0516535798538354e-05,2.313728350899187e-06,13
762,MedHigh/762,P2,peak_lat,0.2815384615384615,0.01234369733529324,13
762,MedHigh/762,N400,mean_amp,-1.353894224882066e-07,1.6313617566013165e-06,13
762,MedHigh/762,N400,peak_amp,-1.1993679661296361e-05,1.9000307113499666e-06,13
762,MedHigh/762,N400,peak_lat,0.43615384615384617,0.019920948307235932,13
893,High/893,P1,mean_amp,5.50124706120876e-06,2.386210367856691e-06,18
893,High/893,P1,peak_amp,1.614989161407668e-05,2.9190721491152937e-06,18
893,High/893,P1,peak_lat,0.11944444444444444,0.005743551213091092,18
893,High/893,N1,mean_amp,-1.8677425804370116e-06,2.248122077407024e-06,18
893,High/893,N1,peak_amp,-1.7385567527141544e-05,2.1261947732072186e-06,18
893,High/893,N1,peak_lat,0.20055555555555557,0.007647128651711799,18
893,High/893,P2,mean_amp,7.2842293992683325e-06,2.185399630605014e-06,18
893,High/893,P2,peak_amp,2.5482362775198486e-05,2.47742146051119e-06,18
893,High/893,P2,peak_lat,0.2888888888888889,0.009424238284744283,18
893,High/893,N400,mean_amp,2.1269684442526526e-06,1.461202280314674e-06,18
893,High/893,N400,peak_amp,-1.0581141281478328e-05,1.4595224227095622e-06,18
893,High/893,N400,peak_lat,0.4577777777777778,0.01449713867543775,18
