feature,mi_score,f_score,f_pval
ERP_P2_P7,0.08068733890962765,1.439754904817337,0.2315638705031854
ERP_N400_C3,0.06653451410321498,2.2101963966521194,0.13863759120263439
ERP_N400_P8,0.06159798331973354,1.058106102218639,0.3048596795889068
ERP_P2_Fp2,0.05754947320490755,4.478820224149072,0.03552375646041613
ERP_N400_O2,0.05536400732031188,4.344001854253177,0.03837860309800725
BP_beta_P7,0.05501789739126117,2.8085177742370346,0.09528944570237702
ERP_N400_Fp1,0.05484853655761146,0.6104576244830935,0.43551693385127854
BP_beta_P4,0.05114073935024077,4.691585279471217,0.031464725427185224
BP_beta_F4,0.047244298904954185,0.03383912972931361,0.8542312540402142
BP_gamma_F8,0.046151193778180666,0.04659966252236083,0.8293040697624744
ERP_N1_O2,0.04573112339075225,0.9912207397567264,0.32061790885533525
ERP_N400_F4,0.04510526796580061,3.0093917671272923,0.08428636469602077
BP_gamma_F7,0.04427635716616507,0.43407417368977236,0.5107358813882732
BP_beta_F7,0.044088317203256455,2.603459503287831,0.10816897237437018
BP_beta_P8,0.04379805077577981,0.3994995594025779,0.5280520767713563
BP_theta_T7,0.04287510259994942,2.45640238490858,0.11858886983358617
ERP_P2_P8,0.04271520234638437,1.1190746299901992,0.2913627396948801
ERP_N400_O1,0.041195003128536634,2.2073770123945273,0.13888823924767835
ERP_N1_P3,0.040376869160959394,0.5276098425362641,0.4684420054121271
ERP_P2_Fp1,0.0398642953534889,4.547921586798743,0.03414816890777373
BP_gamma_F4,0.0360172696523553,4.066197120074844,0.045054362978397704
BP_alpha_Fp2,0.03143661218926619,2.280438972430851,0.13255458771678358
BP_beta_F3,0.03130604288006156,0.6026994525514712,0.43844469587739154
BP_alpha_C3,0.028201353767273396,3.430507447004177,0.0654402154460543
BP_alpha_O1,0.027315426754007444,0.32362860744742505,0.5700578165723991
ERP_P1_P7,0.026207432261416752,0.31034565685181,0.5780758645680706
ERP_N400_C4,0.02426330802907506,0.3961411472395009,0.5297896749223349
ERP_P2_C3,0.024183452943426165,2.384702748833598,0.12407047723749398
ERP_P2_O2,0.02400004243961007,0.22154849652336417,0.6383629946685452
ERP_N400_P7,0.022696136739644324,2.0511859089668882,0.15361068412110604
BP_gamma_C4,0.02268701938457962,1.032574350533449,0.3107525718902865
BP_gamma_P7,0.02198311834759803,3.137980417220028,0.07797418413325094
BP_theta_Fp2,0.02167644603033647,0.5471339757350935,0.46033731931727817
BP_beta_C4,0.021617016619715823,2.495969877792568,0.11567975520018028
BP_theta_C4,0.02060824052288357,0.001961968887978857,0.9647130754645498
BP_theta_F8,0.018891859954969892,5.434291290627412,0.020716636860800167
BP_delta_P4,0.018681211624974825,3.787272217440451,0.053010580049121445
ERP_N1_F3,0.018358048002578453,2.9610551190580576,0.08680109680770863
BP_alpha_F3,0.01660528194102273,0.5781833980360013,0.44789890113387043
BP_beta_O1,0.01633322363401124,3.19270435449825,0.0754451583811863
ERP_N1_Fp2,0.01583815651490328,1.1288104022027414,0.2892792118126189
BP_alpha_O2,0.015628640651081938,0.9155498609205277,0.3397731874400556
ERP_P2_P3,0.015288049578786378,2.0195872949584013,0.15680070113844355
ERP_N1_F7,0.015159204362558132,2.745739898185677,0.09904355406104975
ERP_N1_O1,0.014715493118829581,0.3648282464438959,0.5465047274249999
BP_delta_C3,0.01448164591645762,2.4065248723335317,0.12237275607865498
ERP_N400_P4,0.014257704798722237,5.525210090532126,0.01969407013315929
ERP_N400_T8,0.014015698396734777,5.499814926900733,0.01997427991015247
ERP_N1_T8,0.013962740693016062,0.9528276105365379,0.3301510567231376
ERP_P1_P8,0.01252990905143081,2.2084227745739873,0.13879520956264288
BP_alpha_C4,0.012145787423983201,0.3838496963487804,0.5362380878356581
ERP_N1_P8,0.011888509811633252,5.688466217120433,0.017987813167405456
BP_theta_F7,0.011758769920412249,2.0396143959816326,0.1547701964344559
ERP_P1_P4,0.01174248376261433,2.7169080410592956,0.10082190406570057
BP_theta_P3,0.011388991470617338,0.8286738079576079,0.36372538284317246
ERP_P1_F7,0.010910836959100667,2.952474186158206,0.08725601211677374
BP_delta_C4,0.010819688093442359,1.1989343007499056,0.2748195731701886
BP_alpha_F7,0.010320798844945411,0.5559593697375533,0.4567469504779056
BP_gamma_C3,0.009458694724775896,1.1347482464009393,0.288017829317925
ERP_P2_F7,0.009424369167724045,2.5738768755733914,0.11018065857237501
BP_alpha_T8,0.009395444450640777,0.006335806273158103,0.9366348098071907
BP_delta_F8,0.00893966393080925,2.060515414546747,0.1526830454451068
ERP_P1_F4,0.008828199915426715,2.646423194942343,0.10531928432638617
ERP_P2_F8,0.007895094610451014,5.605688150614903,0.018832829436401598
ERP_N1_Fp1,0.007843571162440721,0.934512033173357,0.33483227066732113
ERP_P2_C4,0.007743077160233369,1.3618615462453478,0.24457078791804532
ERP_N400_F7,0.007284457202578309,0.2526777430238669,0.6157354494500114
BP_delta_O2,0.006436235380245403,0.06094471608306726,0.8052560050658603
BP_alpha_Fp1,0.006300458073359216,0.18221442445241617,0.6699250231489513
BP_delta_P8,0.006276566947592599,0.11809040713758417,0.7314670851653307
BP_delta_O1,0.005473782563572449,0.007385792250133318,0.9315974893813186
BP_beta_T7,0.005445483686168817,4.243326220838629,0.04066807570063611
BP_theta_Fp1,0.005360327508335594,2.876793831501605,0.09138278663101106
BP_delta_T7,0.005146264231724373,4.329747527726116,0.03869430488820879
BP_theta_O2,0.005034852960780878,0.5959621712703429,0.44101182283761453
BP_alpha_P7,0.004555454287367144,0.010541921511857347,0.9183221858707435
ERP_P2_T8,0.0038305821912927307,3.838683923638626,0.051438563161517556
BP_theta_P8,0.0037302156480447657,6.2625777020453315,0.013112751278763737
ERP_N1_T7,0.0028453892808739667,5.122529686564651,0.024664691316306466
BP_beta_Fp2,0.0020910131955877986,0.026457595010207013,0.8709480134700799
BP_beta_P3,0.0017847309127048128,0.18363072166553718,0.6687213598556506
BP_alpha_P8,0.001490097532079293,2.415704546440777,0.12166635929526874
ERP_P1_C3,0.001436759824430922,6.609474131748044,0.010852226616445821
ERP_N400_F3,0.0012408468459148558,5.997523454523151,0.015165839151026662
ERP_N400_P3,0.0011370483114170327,1.2528391127339322,0.26432067043867113
BP_delta_T8,0.0010749918184811413,1.7244279574943118,0.19059203162805013
BP_beta_F8,0.001054030069831402,1.3577125866440392,0.2452883341379838
BP_gamma_P4,0.0007139303640699701,1.4219929541464158,0.2344541147844998
ERP_P1_Fp1,0.0,0.8164661940481226,0.36727596144765173
ERP_P1_F3,0.0,1.276058560199329,0.2599532091961597
ERP_P1_O2,0.0,0.16297910482580008,0.6868492012736261
ERP_P1_F8,0.0,2.980885718366177,0.08575964692900773
ERP_P1_O1,0.0,2.8486058069550673,0.09297399173050463
ERP_P1_Fp2,0.0,7.368271153639101,0.007204108656917179
ERP_P1_C4,0.0,0.050740337604935674,0.8220043926247509
ERP_P1_P3,0.0,0.008309145011040074,0.927458826114859
ERP_P1_T7,0.0,0.6775274252287599,0.411395935489016
ERP_P1_T8,0.0,0.7979590868608883,0.3727517211796141
ERP_N1_C4,0.0,0.18174812497481785,0.6703225259905516
ERP_N1_F8,0.0,0.5343314875166562,0.4656261364534101
ERP_N1_F4,0.0,0.029024406293662177,0.8648907154941106
ERP_N1_C3,0.0,1.8754583581364028,0.17234956257184858
ERP_N1_P4,0.0,1.284110603221481,0.2584596783755715
ERP_P2_F3,0.0,1.0630013425318547,0.3037464991325452
ERP_N1_P7,0.0,2.1449932469336064,0.14456752776256193
ERP_N400_Fp2,0.0,0.48368449854561224,0.4875457342125529
ERP_N400_F8,0.0,1.8306679059656241,0.17753892173896768
ERP_N400_T7,0.0,3.349588376090332,0.06867393207577852
ERP_P2_P4,0.0,4.773400833236979,0.03003650233959179
ERP_P2_F4,0.0,0.009552156750988425,0.9222381060255606
ERP_P2_O1,0.0,0.16245556860289628,0.6873257623010023
ERP_P2_T7,0.0,0.40052112711935317,0.5275255598912798
BP_delta_F4,0.0,2.6333978527484567,0.1061743678378699
BP_gamma_F3,0.0,2.786819895241631,0.09656901134734575
BP_delta_F3,0.0,0.9340535170990911,0.3349506000019903
BP_theta_F3,0.0,0.1165075545814035,0.733203239705369
BP_gamma_Fp2,0.0,3.346136144858913,0.06881566550408556
BP_delta_Fp1,0.0,5.56881099625815,0.019222494729542513
BP_delta_Fp2,0.0,4.555640841841975,0.03399802645570975
BP_gamma_Fp1,0.0,3.044118445336043,0.08252869840852031
BP_beta_Fp1,0.0,0.3537520165454063,0.5526527506872274
BP_beta_C3,0.0,1.608672643011513,0.20611694213893444
BP_theta_F4,0.0,5.0935682552676615,0.025069387520655496
BP_theta_C3,0.0,7.350174604847002,0.007274397058743344
BP_gamma_P3,0.0,1.1941616369644212,0.2757742166396709
BP_alpha_P3,0.0,0.9670701624775808,0.3265711488555032
BP_alpha_F4,0.0,0.8375926912885514,0.36116143136270673
BP_delta_P3,0.0,2.893444253759967,0.09045688764103708
BP_gamma_O1,0.0,2.187562892246614,0.1406642589763364
BP_theta_O1,0.0,0.17538594503536684,0.675807286818116
BP_alpha_P4,0.0,0.6221473330005287,0.4311616624326683
BP_theta_P4,0.0,1.2258756445349377,0.26950808937510573
BP_delta_F7,0.0,1.0243457145555328,0.3126834762132318
BP_alpha_F8,0.0,1.0503895232324312,0.30662523430230054
BP_beta_O2,0.0,0.7910055392632191,0.37483871149413106
BP_gamma_O2,0.0,1.8973771264297938,0.1698742062733276
BP_alpha_T7,0.0,5.426795717843371,0.02080337451047085
BP_delta_P7,0.0,7.2312198626885875,0.007754370977265074
BP_theta_P7,0.0,7.579631693272254,0.0064331245337890895
BP_beta_T8,0.0,0.7297339089311063,0.39396659470354367
BP_theta_T8,0.0,0.3007764962815954,0.5839927880135849
BP_gamma_T7,0.0,4.444121286664117,0.0362364232335502
BP_gamma_T8,0.0,3.9457367513075567,0.04832237047504504
BP_gamma_P8,0.0,2.3266816859560904,0.12871399079860302
